restaurant_id,restaurant_name,cuisine_type
608,Brahmins' Thatte Idli,Bti Dosa
609,Lamee,Chicken
610,Hotel Heiga,Noodles & Rice
611,De Linz Cafe,Snacks
612,1944 The Hocco Kitchen,Starter
613,Paakashala,Tandoori Bread
614,Apna Vaishno Dhaba,Main Course
615,Paakashala,Indian Starter
616,Viggis,Biryani Rice Noodles
617,Dmb(Doodh Misthan Bhandar),Snacks And Chaat
618,Boom - Sub Style Sandwiches,Boom Classics
619,La Pino'Z Pizza,Recommended
620,Pastas By Pizza Hut,Pastas
621,Leancrust Pizza- Thincrust Experts,Recommended
622,Radha Krishna,Breakfast
623,Kfc,Friendship Day Epic Deals (Upto Rs 256 Off)
624,Aryaas,Recommended
625,The Prashadam,Chatpata Tadka
626,"Dabba Garam (Homestyle,Combo, Thali & More)",Sabji
627,Health Wealth Kitchen,Starters
628,Maa Ki Rasoi,Quick Bites
629,Vrindavan Ki Rasoi,Recommended
630,Mcdonald'S,Burgers And Wraps
631,Keventers - Milkshakes & Desserts,All-New Waffles
632,Cafe Sai Sadanand,Snacks
633,Captain Sam'S Pizza,Premium Pizza Regular
634,Matkawala,Best In Thali Delight
635,Hira Sweets,South Indian
636,Attitude Cafe And Restaurant Nxt,Recommended
